measure_key,station_key,measure_notation,station_reference,reading_ts,reading_date,value,value_quality,run_id,loaded_at
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T00:00:00.000+00:00,2026-09-12,-0.366,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T00:15:00.000+00:00,2026-09-12,-0.366,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T00:30:00.000+00:00,2026-09-12,-0.366,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T00:45:00.000+00:00,2026-09-12,-0.369,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T01:00:00.000+00:00,2026-09-12,-0.371,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T01:15:00.000+00:00,2026-09-12,-0.371,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T01:30:00.000+00:00,2026-09-12,-0.37,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T01:45:00.000+00:00,2026-09-12,-0.37,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T02:00:00.000+00:00,2026-09-12,-0.367,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T02:15:00.000+00:00,2026-09-12,-0.366,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T02:30:00.000+00:00,2026-09-12,-0.366,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T02:45:00.000+00:00,2026-09-12,-0.367,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T03:00:00.000+00:00,2026-09-12,-0.365,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T03:15:00.000+00:00,2026-09-12,-0.362,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T03:30:00.000+00:00,2026-09-12,-0.357,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T03:45:00.000+00:00,2026-09-12,-0.355,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T04:00:00.000+00:00,2026-09-12,-0.353,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T04:15:00.000+00:00,2026-09-12,-0.351,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T04:30:00.000+00:00,2026-09-12,-0.351,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T04:45:00.000+00:00,2026-09-12,-0.352,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T05:00:00.000+00:00,2026-09-12,-0.355,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T05:15:00.000+00:00,2026-09-12,-0.358,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T05:30:00.000+00:00,2026-09-12,-0.362,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T05:45:00.000+00:00,2026-09-12,-0.364,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T06:00:00.000+00:00,2026-09-12,-0.367,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T06:15:00.000+00:00,2026-09-12,-0.368,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T06:30:00.000+00:00,2026-09-12,-0.37,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T06:45:00.000+00:00,2026-09-12,-0.372,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T07:00:00.000+00:00,2026-09-12,-0.372,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T07:15:00.000+00:00,2026-09-12,-0.374,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T07:30:00.000+00:00,2026-09-12,-0.371,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T07:45:00.000+00:00,2026-09-12,-0.369,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T08:00:00.000+00:00,2026-09-12,-0.365,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T08:15:00.000+00:00,2026-09-12,-0.363,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T08:30:00.000+00:00,2026-09-12,-0.362,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T08:45:00.000+00:00,2026-09-12,-0.36,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T09:00:00.000+00:00,2026-09-12,-0.361,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T09:15:00.000+00:00,2026-09-12,-0.362,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T09:30:00.000+00:00,2026-09-12,-0.361,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T09:45:00.000+00:00,2026-09-12,-0.361,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T10:00:00.000+00:00,2026-09-12,-0.361,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T10:15:00.000+00:00,2026-09-12,-0.36,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T10:30:00.000+00:00,2026-09-12,-0.36,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T10:45:00.000+00:00,2026-09-12,-0.36,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T11:00:00.000+00:00,2026-09-12,-0.36,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T11:15:00.000+00:00,2026-09-12,-0.358,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T11:30:00.000+00:00,2026-09-12,-0.357,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T11:45:00.000+00:00,2026-09-12,-0.357,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T12:00:00.000+00:00,2026-09-12,-0.355,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T12:15:00.000+00:00,2026-09-12,-0.353,ok,297706178620246,2026-09-22T10:09:58.769+00:00
-8936484523522378346,304989650380185793,1029TH-level-downstage-i-15_min-mASD,1029TH,2026-09-12T12:30:00.000+00:00,2026-09-12,-0.353,ok,297706178620246,2026-09-22T10:09:58.769+00:00
